"","location_name","total_population","total_commuters","less_than_5_min","5_to_9_min","10_to_14_min","15_to_19_min","20_to_24_min","25_to_29_min","30_to_34_min","35_to_39_min","40_to_44_min","45_to_59_min","60_to_89_min","90_or_more_min","state","puma","median_commuter_number","median_commute_bins","median_commute_bin_number","percent_more_than_hour","percent_more_than_90"
"31","Boston City--Allston, Brighton & Fenway PUMA; Massachusetts",111437,56015,1394,4983,5971,7248,6565,3689,9943,2015,2961,6253,4071,922,"25","03301",28008,"25_to_29_min",9,9,2
"4","Worcester County (Central)--Worcester City PUMA, Massachusetts",184509,83822,1261,9477,12940,17376,10595,5049,11275,1051,1763,5102,5401,2532,"25","00300",41912,"20_to_24_min",8,9,3
"11","Middlesex County (Far Northeast)--Lowell City PUMA, Massachusetts",110572,54328,839,4009,8276,9283,9485,2355,6368,1536,2610,4425,3912,1230,"25","00502",27164,"20_to_24_min",8,9,2
"12","Middlesex County--Waltham City, Lexington, Burlington, Bedford & Lincoln Towns PUMA; Massachusetts",145978,73333,2011,6052,9741,9966,9157,4049,11558,2720,5114,6649,4983,1333,"25","00503",36667,"20_to_24_min",8,9,2
"18","Essex County (Northwest)--Lawrence, Haverhill & Methuen Town Cities PUMA; Massachusetts",193006,88930,2897,8338,10906,17489,10402,3243,10513,2767,4118,10276,5218,2763,"25","00701",44466,"20_to_24_min",8,9,3
"46","Bristol County (Central)--Fall River City & Somerset Town PUMA, Massachusetts",106176,44971,1345,4107,7713,8962,5246,2870,4706,1310,1678,2780,2699,1555,"25","04302",22486,"20_to_24_min",8,9,3
"49","Barnstable County (West)--Inner Cape Cod Towns & Barnstable Town City PUMA, Massachusetts",129429,58440,2392,7132,10726,10439,8536,3560,5368,975,1194,2796,3099,2223,"25","04700",29220,"15_to_19_min",7,9,4
"15","Middlesex County (East)--Cambridge City PUMA, Massachusetts",110644,58382,1281,3701,6467,9488,7615,3649,10483,2175,3843,5822,3143,715,"25","00506",29192,"25_to_29_min",9,7,1
"25","Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA, Massachusetts",150125,70548,2331,6311,7422,7789,10848,8293,10984,2287,3727,5860,2971,1725,"25","01600",35274,"25_to_29_min",9,7,2
"32","Boston City--Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End PUMA; Massachusetts",156535,89801,2961,6025,8548,13567,14104,7115,16633,4163,3418,7021,5147,1099,"25","03302",44901,"20_to_24_min",8,7,1
"2","Berkshire County--Pittsfield City PUMA, Massachusetts",126903,59708,3126,10933,12977,7400,6607,3269,4999,1615,1804,3634,1945,1399,"25","00100",29854,"15_to_19_min",7,6,2
"50","Barnstable (East), Dukes & Nantucket Counties--Outer Cape Cod Towns PUMA; Massachusetts",113101,48318,2853,9651,9722,12368,4133,2062,2925,674,281,813,1570,1266,"25","04800",24160,"15_to_19_min",7,6,3
"26","Hampden County (Central)--Springfield City PUMA, Massachusetts",154079,61693,1404,5135,9354,12664,13125,3596,7705,608,1326,3850,2493,433,"25","01900",30847,"20_to_24_min",8,5,1
"3","Franklin & Hampshire (North) Counties PUMA, Massachusetts",121683,57907,3072,7352,10267,8946,7107,3462,5913,2128,3222,3379,1436,1623,"25","00200",28954,"15_to_19_min",7,5,3
"28","Hampden County (East of Springfield City)--Chicopee City PUMA, Massachusetts",128890,59149,1154,6524,9146,10422,12391,3702,7290,1204,1915,3129,1557,715,"25","01902",29575,"20_to_24_min",8,4,1
"27","Hampden County (West of Springfield City)--Westfield & Holyoke Cities PUMA, Massachusetts",145888,67091,2530,7214,11925,12077,10275,5687,8268,1581,1662,3539,1443,890,"25","01901",33546,"15_to_19_min",7,3,1
